HDnumber,X1,X2,X3,X4,X5,X6,X7,X10,X8,X9,SB
108,0,0.000,*,<4.80,*,<4.80,3.10,8.77,4.544,3.50,0
886,3,0.005,0.682,1.99,6.590,6.59,0.00,7.76,4.342,3.95,0
3360,17,0.186,0.640,1.30,*,<1.00,2.53,8.23,4.317,3.80,0
16582,1,0.075,0.318,0.43,6.206,11.62,0.00,8.23,4.327,3.80,0
24587,32,0.426,1.157,7.90,*,<1.00,0.00,*,4.142,4.26,1
29248,6,0.017,0.432,3.20,5.763,36.90,0.00,7.93,4.342,3.85,0
32633,19,0.156,*,<5.20,*,<5.20,>3.93,*,4.107,4.17,0
35298,260,0.540,*,<9.60,*,<9.60,>3.95,*,4.204,3.80,0
35502,80,1.176,*,<5.60,*,<5.60,>3.83,*,4.204,3.80,1
36485,32,0.677,*,*,*,*,4.00,*,4.301,4.00,1
37017,90,1.110,*,<5.60,*,<5.60,>3.78,*,4.322,4.10,1
37022,24,0.065,*,<22.80,*,<22.80,3.04,7.82,4.591,4.10,1
37479,170,0.840,*,*,*,*,3.98,*,4.362,4.00,0
37742,100,0.167,*,<4.40,*,<4.40,1.88,7.52,4.470,3.25,1
37776,95,0.650,*,<7.20,*,<7.20,4.18,*,4.342,4.00,0
43317,110,1.115,1.101,1.44,4.331,0.56,3.08,7.66,4.230,4.00,0
44743,23,0.054,*,<5.60,3.979,21.00,0.00,7.59,4.380,3.50,0
46005,150,2.505,*,<26.00,*,<26.00,0.00,*,4.325,4.43,0
46149,30,0.084,0.175,0.20,3.844,0.05,0.00,7.90,4.556,3.70,1
46150,100,0.144,0.055,0.32,*,<0.01,0.00,8.48,4.623,4.01,0
46202,25,*,0.510,0.11,4.856,0.09,0.00,8.00,4.525,4.10,0
46223,100,0.249,0.755,0.46,7.554,0.17,0.00,8.85,4.633,4.01,0
46328,9,0.235,*,<8.40,4.772,17.00,>3.08,8.00,4.439,3.75,0
46769,72,0.103,*,<0.01,*,<0.01,0.00,8.08,4.114,2.70,0
46966,50,0.084,0.039,0.89,8.226,0.06,0.00,8.08,4.544,3.75,0
48977,29,0.637,0.517,2.23,*,<0.01,0.00,7.53,4.301,4.20,0
50230,7,0.044,0.684,1.84,4.922,1.24,*,*,4.255,3.80,1
50707,34,0.107,*,<2.40,5.419,4.60,0.00,8.03,4.415,3.60,0
51756,28,0.527,*,<0.01,*,<0.01,0.00,*,4.477,3.75,0
55522,70,0.366,*,<7.20,*,<7.20,>3.42,*,4.241,4.20,0
57682,15,0.016,*,<3.20,*,<3.20,2.94,8.11,4.538,4.00,0
61068,10,*,*,<3.60,6.010,19.50,0.00,8.00,4.420,4.15,0
61556,70,0.524,*,*,*,*,3.60,*,4.176,4.00,0
64740,160,0.752,*,<2.00,*,<2.00,4.20,7.89,4.380,4.00,0
66665,10,0.048,*,<6.00,*,<6.00,2.83,*,4.447,3.90,0
67621,20,0.279,*,<3.20,*,<3.20,>2.95,*,4.279,4.00,0
74560,13,0.010,0.645,14.30,*,<1.00,0.00,*,4.210,4.15,1
74575,11,*,*,<2.00,*,<2.00,0.00,7.92,4.360,3.60,0
85953,18,0.020,0.266,11.20,*,<1.00,0.00,7.66,4.322,3.80,0
96446,3,0.175,1.149,<4.40,10.763,<4.40,3.89,7.42,4.334,4.00,0
105382,73,0.772,*,<7.20,*,<7.20,3.36,*,4.241,4.18,0
111123,18,*,*,<4.00,5.231,3.10,0.00,7.61,4.439,3.65,1
112413,17,0.183,*,<40.80,*,<40.80,>3.20,*,4.061,4.12,0
123515,15,0.038,0.685,20.90,*,<1.00,0.00,*,4.097,4.29,1
125823,15,0.113,*,<18.80,*,<18.80,>4.15,8.10,4.279,4.00,0
127381,68,0.331,*,<2.00,10.935,3.10,2.70,8.26,4.362,4.02,0
129929,2,0.012,*,<1.00,6.462,11.80,0.00,7.73,4.389,3.95,0
140873,69,1.226,1.152,13.40,*,<1.00,0.00,*,4.144,4.35,1
142184,290,1.967,*,<4.80,*,<4.80,4.00,*,4.230,4.25,0
142990,125,1.021,*,<4.80,*,<4.80,>3.88,*,4.230,4.20,0
148937,45,0.142,*,<10.00,*,<10.00,3.01,8.48,4.602,4.00,1
149438,6,0.024,*,<1.60,*,<1.60,2.70,8.15,4.491,4.10,0
157056,31,0.107,*,<1.00,7.116,9.40,0.00,7.78,4.398,4.10,1
163472,63,0.275,*,<1.00,7.148,13.22,2.60,7.99,4.352,3.95,0
175362,35,0.272,*,<18.00,*,<18.00,>4.32,8.95,4.176,3.70,0
176582,105,0.632,*,<7.20,*,<7.20,3.85,*,4.204,4.00,0
180642,25,0.075,0.308,1.60,5.487,38.10,0.00,8.00,4.389,3.45,0
181558,12,0.127,0.808,24.90,*,<1.00,0.00,*,4.167,4.16,0
182180,310,1.918,*,<10.00,*,<10.00,4.06,*,4.248,4.05,0
184927,14,0.105,*,<4.40,*,<4.40,3.59,*,4.342,3.90,0
187879,97,0.129,*,<0.01,*,<0.01,*,7.55,4.336,3.10,1
189775,85,0.384,*,<10.40,*,<10.40,>3.65,*,4.204,3.80,0
191612,1,0.002,*,<8.00,*,<8.00,3.39,8.43,4.556,3.75,1
205021,25,0.083,*,<1.00,5.250,37.00,2.48,8.11,4.431,3.75,0
208057,104,0.694,0.802,9.00,*,<7.60,>2.70,*,4.279,3.90,0
214680,16,0.147,*,<2.40,3.258,5.50,0.00,7.81,4.532,4.10,0
214993,36,0.120,0.355,5.00,5.179,38.10,0.00,7.64,4.389,3.65,0
216916,20,0.275,*,<2.00,5.911,2.55,0.00,7.78,4.362,3.95,1


